"SCRIPTID","NAME","USERID","CREATEDATE","DATEOFMODIFIED","RELEASE","CATEGORY","DETAILS","MODULE","REPOSITORY","DESIGNER","SYSCODE","HOSTNAME","REVIEWER","REVIEW_STARTDATE","REVIEW_ENDDATE","ACTIVEX"
1168,"FT_SOE_Resh2.1","SS7654321","01/02/2020","2020/02/01 23:58:54","9.2","Trash","resr2","SOE","C:\ScriptBuilderRepo\Functional Test","SS7654321","01","0","","7-4-2021","","false"
1163,"FT_SOE_Resh1","SS7654321","01/02/2020","2020/02/01 23:33:00","9.2","Trash","ds","SOE","C:\ScriptBuilderRepo\Functional Test","SS7654321","01","0","","","","false"
1161,"FT_SOE_ST4","SS7654321","01/02/2020","2020/02/01 23:29:00","9.2","Trash","Resh1","SOE","C:\ScriptBuilderRepo\Functional Test","SS7654321","01","0","","7-4-2021","","false"
1158,"FT_SOE_FT1","SS7654321","01/02/2020","2020/02/01 23:02:37","9.2","Trash","PO","SOE","C:\ScriptBuilderRepo\Functional Test","SS7654321","01","0","","7-4-2021","","false"
1155,"FT_SOE_ST3","SS7654321","01/02/2020","2020/02/01 22:49:21","9.2","Trash","PO","SOE","C:\ScriptBuilderRepo\Functional Test","SS7654321","03B","0","","7-4-2021","","false"
1154,"FT_SOE_ST2","SS7654321","01/02/2020","2020/02/01 22:43:37","9.2","Trash","ST2","SOE","C:\ScriptBuilderRepo\Functional Test","SS7654321","03B","0","","","","false"
1153,"FT_SOE_ST1","SS7654321","01/02/2020","2020/02/01 22:38:43","9.2","Trash","ST1","SOE","C:\ScriptBuilderRepo\Functional Test","SS7654321","01","0","","","","false"
1166,"FT_SOE_Resh1.2","SS7654321","01/02/2020","2020/02/01 23:39:52","9.2","Trash","fdf","SOE","C:\ScriptBuilderRepo\Functional Test","SS7654321","01","0","","16-4-2021","","false"
1165,"FT_SOE_Resh1.1","SS7654321","01/02/2020","2020/02/01 23:38:59","9.2","Trash","ds","SOE","C:\ScriptBuilderRepo\Functional Test","SS7654321","01","0","","","","false"
5738,"SS_UAT011","SS7654321","01/02/2021","2021/02/01 04:54:49","9.2","Trash","das","FMS","AutHubRepo\EOne\9.2\Trash","SS7654321","12","0","","","","false"
5734,"FT_CRM_CAM_Issue Type  Code","IC8867899","01/02/2021","","9.2","FT","Script verifies UDCs for Equipment","CRM","AutHubRepo\EOne\9.2\FT","AP9076327","13","0","","","","false"
5737,"SS_P01","SS7654321","01/02/2021","2021/02/01 04:46:09","9.2","Trash","cz","FMS","AutHubRepo\EOne\9.2\Trash","SS7654321","12","0","","","","false"
5736,"SS_TT1","SS7654321","01/02/2021","2021/02/01 04:42:14","9.2","Trash","da","FMS","AutHubRepo\EOne\9.2\Trash","SS7654321","12","0","VK9076634","14-6-2021","06/14/2021","false"
